assembly,pcaG,pcaH,PETase,tphA2,tphA3,tphB
2510065012,0,0,0,0,0,0
2510065013,0,0,0,0,0,0
2510065015,0,0,0,0,0,0
2510065016,0,0,0,0,0,0
2510065018,0,0,0,0,0,0
2510065023,0,0,0,0,0,0
2510065032,1,1,0,1,0,0
2510065042,0,0,0,0,0,0
2510065044,0,0,0,0,0,0
2510065045,4,5,1,9,1,7
2510065046,0,0,0,0,0,1
2510065050,0,0,0,0,0,0
2510065051,0,0,0,0,0,0
2510065052,0,0,0,0,0,0
2510065053,2,3,0,3,0,7
2510065055,3,3,0,3,0,7
2510065057,5,4,0,3,0,2
2510065058,2,3,0,3,0,7
2510065059,2,3,0,3,0,1
2510065060,0,0,0,1,0,0
2510065062,3,1,0,0,0,0
2510065076,4,6,0,3,0,3
2510065083,1,2,0,2,0,0
2510065084,2,3,0,2,0,0
2510065085,0,0,0,0,0,0
2510065086,0,0,0,0,0,1
2510065087,0,0,0,1,0,0
2510065092,4,4,0,3,0,4
2510436000,0,0,0,1,0,0
2510436001,0,0,0,0,0,0
2510436004,0,0,0,0,0,0
2510436005,0,0,0,0,0,0
2510461003,0,0,0,0,0,0
2510461014,0,0,0,0,0,0
2510461017,0,1,0,2,0,1
2510461018,0,0,0,0,0,0
2510461019,1,1,0,0,0,0
2510461020,0,0,0,1,0,0
2510461022,0,0,0,0,0,0
2510461047,0,1,0,1,0,0
2510461052,0,0,0,0,0,1
2510461053,0,0,0,0,0,0
2510461056,0,0,0,0,0,0
2510461067,0,0,0,0,0,0
2510461069,3,3,0,3,0,2
2510461070,0,0,0,1,0,0
2510461075,0,0,0,0,0,0
2510461079,0,0,0,0,0,0
2510917000,0,0,0,2,0,0
2510917005,0,0,0,0,0,0
2510917010,0,0,0,0,0,0
2510917013,0,0,0,0,0,0
2510917014,3,3,0,9,2,9
2510917015,0,0,0,0,0,0
2510917020,2,2,0,10,0,0
2510917021,0,0,0,0,0,0
2510917026,4,4,0,3,0,2
2510917027,0,0,0,0,0,0
2510917028,3,4,0,2,0,3
2511231001,0,0,0,0,0,0
2511231002,0,0,0,0,0,0
2511231003,5,4,0,5,1,6
2511231004,0,0,0,0,0,0
2511231006,6,4,0,6,0,10
2511231007,5,6,0,5,0,10
2511231008,5,6,0,7,0,12
2511231010,3,4,0,4,0,9
2511231011,2,4,0,1,0,7
2511231012,0,0,0,0,0,0
2511231013,3,4,0,2,0,13
2511231014,5,5,0,4,0,9
2511231015,4,5,0,6,0,12
2511231016,0,0,0,0,0,0
2511231017,5,5,0,4,1,14
2511231018,3,4,0,4,0,14
2511231019,0,0,0,0,0,0
2511231020,6,5,0,5,0,10
2511231021,6,7,0,5,0,13
2511231022,0,0,0,0,0,0
2511231023,2,4,0,3,0,6
2511231024,4,4,0,4,0,7
2511231025,0,0,0,0,0,9
2511231026,1,1,0,3,0,5
2511231027,2,3,0,4,0,6
2511231028,8,6,0,4,0,5
