#SampleID,Study,Latitude,Longitude,Environment,WaterOrSediment,LabOrField,IncubationOrCollection,Source,MaterialType,PlasticTypeSpecific,PlasticTypeGeneral,DEPTH,IncubationTime,IncubationGeneral,Temperature,Salinity,Light,CollectionDate,Season,PrimerPair,DNAExtraction
AZ2015s073,AmaralZettler2015,31.65,-64.26167,marine,water,field,collection,plastic,pe,pe,aliphatic,0,collection,collection,22.7,36.4,ambient,27/05/2012,spring,967F_1064R,gentra_puregene
AZ2015s074,AmaralZettler2015,34.39667,-64.745,marine,water,field,collection,water,water,water,planktonic,0,collection,collection,22.4,36.45,ambient,06/06/2012,summer,967F_1064R,gentra_puregene
AZ2015s075,AmaralZettler2015,34.39667,-64.745,marine,water,field,collection,water,water,water,planktonic,550,collection,collection,15.1,36.03,ambient,06/06/2012,summer,967F_1064R,gentra_puregene
AZ2015s076,AmaralZettler2015,34.39667,-64.745,marine,water,field,collection,water,water,water,planktonic,550,collection,collection,15.1,36.03,ambient,06/06/2012,summer,967F_1064R,gentra_puregene
AZ2015s077,AmaralZettler2015,34.405,-64.73667,marine,water,field,collection,plastic,plastic,plastic,unknown plastic,0,collection,collection,22.4,36.45,ambient,06/06/2012,summer,967F_1064R,gentra_puregene
AZ2015s078,AmaralZettler2015,34.405,-64.73667,marine,water,field,collection,plastic,plastic,plastic,unknown plastic,0,collection,collection,22.4,36.45,ambient,06/06/2012,summer,967F_1064R,gentra_puregene
AZ2015s079,AmaralZettler2015,35.55167,-65.65833,marine,water,field,collection,water,water,water,planktonic,0,collection,collection,22.4,36.52,ambient,07/06/2012,summer,967F_1064R,gentra_puregene
AZ2015s080,AmaralZettler2015,35.55167,-65.65833,marine,water,field,collection,water,water,water,planktonic,0,collection,collection,22.4,36.52,ambient,07/06/2012,summer,967F_1064R,gentra_puregene
AZ2015s081,AmaralZettler2015,35.55167,-65.65833,marine,water,field,collection,plastic,pe,pe,aliphatic,0,collection,collection,22.4,36.52,ambient,07/06/2012,summer,967F_1064R,gentra_puregene
AZ2015s082,AmaralZettler2015,35.55167,-65.65833,marine,water,field,collection,plastic,pe,pe,aliphatic,0,collection,collection,22.4,36.52,ambient,07/06/2012,summer,967F_1064R,gentra_puregene
AZ2015s083,AmaralZettler2015,36.34333,-66.89667,marine,water,field,collection,water,water,water,planktonic,0,collection,collection,22.7,36.46,ambient,08/06/2012,summer,967F_1064R,gentra_puregene
AZ2015s084,AmaralZettler2015,36.34333,-66.89667,marine,water,field,collection,plastic,pe,pe,aliphatic,0,collection,collection,22.7,36.46,ambient,08/06/2012,summer,967F_1064R,gentra_puregene
AZ2015s085,AmaralZettler2015,37.435,-68.005,marine,water,field,collection,water,water,water,planktonic,0,collection,collection,23.2,36.34,ambient,09/06/2012,summer,967F_1064R,gentra_puregene
AZ2015s086,AmaralZettler2015,37.435,-68.005,marine,water,field,collection,water,water,water,planktonic,0,collection,collection,23.2,36.34,ambient,09/06/2012,summer,967F_1064R,gentra_puregene
AZ2015s087,AmaralZettler2015,37.435,-68.005,marine,water,field,collection,plastic,pe,pe,aliphatic,0,collection,collection,23.2,36.34,ambient,09/06/2012,summer,967F_1064R,gentra_puregene
AZ2015s088,AmaralZettler2015,39.14333,-67.825,marine,water,field,collection,water,water,water,planktonic,550,collection,collection,5.7,35.04,ambient,10/06/2012,summer,967F_1064R,gentra_puregene
AZ2015s089,AmaralZettler2015,39.14333,-67.825,marine,water,field,collection,water,water,water,planktonic,550,collection,collection,5.7,35.04,ambient,10/06/2012,summer,967F_1064R,gentra_puregene
AZ2015s090,AmaralZettler2015,39.14333,-67.825,marine,water,field,collection,plastic,pe,pe,aliphatic,0,collection,collection,18.9,34.18,ambient,10/06/2012,summer,967F_1064R,gentra_puregene
AZ2015s091,AmaralZettler2015,39.14333,-67.825,marine,water,field,collection,plastic,pe,pe,aliphatic,0,collection,collection,18.9,34.18,ambient,10/06/2012,summer,967F_1064R,gentra_puregene
AZ2015s092,AmaralZettler2015,39.978,-68.882,marine,water,field,collection,plastic,pe,pe,aliphatic,0,collection,collection,16.6,33.76,ambient,11/06/2012,summer,967F_1064R,gentra_puregene
AZ2015s093,AmaralZettler2015,39.978,-68.882,marine,water,field,collection,plastic,pp,pp,aliphatic,0,collection,collection,16.6,33.76,ambient,11/06/2012,summer,967F_1064R,gentra_puregene
AZ2015s094,AmaralZettler2015,41.605,-69.395,marine,water,field,collection,water,water,water,planktonic,0,collection,collection,14,32.08,ambient,12/06/2012,summer,967F_1064R,gentra_puregene
AZ2015s095,AmaralZettler2015,41.605,-69.395,marine,water,field,collection,water,water,water,planktonic,0,collection,collection,14,32.08,ambient,12/06/2012,summer,967F_1064R,gentra_puregene
AZ2015s096,AmaralZettler2015,41.605,-69.395,marine,water,field,collection,water,water,water,planktonic,550,collection,collection,6.2,32.91,ambient,12/06/2012,summer,967F_1064R,gentra_puregene
AZ2015s097,AmaralZettler2015,41.605,-69.395,marine,water,field,collection,water,water,water,planktonic,550,collection,collection,6.2,32.91,ambient,12/06/2012,summer,967F_1064R,gentra_puregene
AZ2015s098,AmaralZettler2015,41.605,-69.395,marine,water,field,collection,plastic,pp,pp,aliphatic,0,collection,collection,14,32.08,ambient,12/06/2012,summer,967F_1064R,gentra_puregene
AZ2015s099,AmaralZettler2015,42.72833,-70.22,marine,water,field,collection,plastic,ps,ps,other plastic,0,collection,collection,15.3,29.48,ambient,13/06/2012,summer,967F_1064R,gentra_puregene
AZ2015s100,AmaralZettler2015,42.72833,-70.22,marine,water,field,collection,organic,cellulose,organic,biofilm,0,collection,collection,15.3,29.48,ambient,13/06/2012,summer,967F_1064R,gentra_puregene
