,Aliphatic: early vs late,Other plastic: early vs late,Biofilm: early vs late,Early: aliphatic vs unknown plastic,Late: aliphatic vs other plastic,Late: aliphatic vs unknown plastic,Late: aliphatic vs biofilm,Early: other plastic vs unknown plastic,Late: other plastic vs unknown plastic,Late: other plastic vs biofilm,Early: unknown plastic vs biofilm,Late: unknown plastic vs biofilm
e93ecb09fa8a36e95c47be4d8ff628e1,0,0,0,0,0,0.0,0,0,0,0,0,0
f41e58594369399a98ca43a5bc116814,0,0,0,0,0,0.0,0,0,0.0,0,0,0
6e3c922eb0e8af48693a1389d282ef5d,0,0,0,0,0,0.0,0,0,0,0,0,0
8614c805fdbd5ab1df0a7cec2b5d4bd3,0,0,0,0,0,0.0,0,0,0,0,0,0
f4cfa4b49744dba4f4b9517ef010ee9a,0,0,0,0,0,0.0,0,0,0,0,0,0
cb7763cfc74ec128a5abd3dad8f02f21,0,0,0,0,0,0.0,0,0,0,0,0,0
4acf587ad601d102a7c998c2825a613d,0,0,0,0,0,0.0,0,0,0,0,0,0
6727c3bf49aac216bd6f65c6de201a53,0,0,0,0,0,0.0,0,0,0.0,0,0,0
12479d8565e104f02af902b8c165c23d,0,0,0,0,0,0.0,0,0,0,0,0,0
cc7cba2f115f6b034a990bfabd17555c,0,0,0,0,0,0.0,0,0,0,0,0,0
ea7c0feb61d9d8d2acf52598d9100f9d,0,0,0,0,0,0.0,0,0,0,0,0,0
19b090dffd88a7709bf8b09589a89874,0,0,0,0,0,0.0,0,0,0,0,0,0
14816d1caa7ec1ca50502b3ec76789c6,0,0,0,0,0,1.1534673639952544,0,0,1.1534673639952544,0,0,1.1534673639952544
3ebe761bfb1238c87195d431f41bf976,0,0,0,0,0,0.0,0,0,0,0,0,0
342eca328b16a2c6156119cb6eac07ef,0,0,0,0,0,0.0,0,0,0,0,0,0
abd944aa1c860d1d8e25f430f350eca9,0,0,0,0,0,0.0,0,0,0,0,0,0
f6907f697361593491030f7dc8a198aa,0,0,0,0,0,0.0,0,0,0,0,0,0
d6b514f12edbe7d7f0bf154a81e0d3a1,0,0,0,0,0,0.0,0,0,0.0,0,0,0
45aae5b06129baf3325f68a675e9c8e2,0,0,0,0,0,0.0,0,0,0.0,0,0,0
f5e344913a1e842e5e90d4625c9e1ab2,0,0,0,0,0,0.0,0,0,0,0,0,0
9aa050b813199b5bf01f96c3ea57cc03,0,0,0,0,0,0.0,0,0,0,0,0,0
fc27695e28ac38ed08ba2e033a58d1ce,0,0,0,0,0,0.0,0,0,0.0,0,0,0
aa5de0642addd3142f38a836ed1df3fb,0,0,0,0,0,0.0,0,0,0,0,0,0
b7279007573da839dc7d022d326a795c,0,0,0,0,0,0.0,0,0,0,0,0,0
3daf1be9fe5fe47c51b69a4af98e35c7,0,0,0,0,0,1.2528880399491493,0,0,1.2528880399491493,0,0,1.2528880399491493
756ce33f93d7c3baed6678a4a0a53cc2,0,0,0,0,0,0.0,0,0,0,0,0,0
e4304c9496921fcf8a88c1ef30dfd0eb,0,0,0,0,0,0,8.42389320987627,0,0,0,0,0
43f5630fd1313ab29af7102ec699c8e2,0,0,0,0,0,0,0,0,0.0,0,0,0
f8d2b7cdf3b8b59a8ed1a4c648fa3e21,0,0,0,0,0,0,0,0,1.2528880399491493,0,0,0
1f42e44d0ce431bdae549c20dba107cb,0,0,0,0,0,0,0,0,1.1099656250033179,0,0,0
2b171e4c26f481ddc20506b79877b519,0,0,0,0,0,0,0,0,1.2528880399491493,0,0,0
Colors,"#ff0000, #25df50","#ff0000, #25df50","#ff0000, #25df50","#5F9EA0, #3593FC","#5F9EA0, #8B008B","#5F9EA0, #3593FC","#5F9EA0, #FCA94A","#8B008B, #3593FC","#8B008B, #3593FC","#8B008B, #FCA94A","#3593FC, #FCA94A","#3593FC, #FCA94A"
